*************13982812736消费记录*************
序号		类型		消费价格		数据(通话(条)/上网(MB)/短信(条))
1		上网		20元			20
2		短信		0元			10
3		通话		0元			30
4		短信		0元			20
5		短信		0元			10
6		上网		10元			10
7		上网		20元			20
8		通话		0元			30
9		通话		0元			30
10		上网		20元			20
11		通话		0元			10
12		短信		20元			20
13		短信		20元			20
14		短信		20元			20
15		上网		10元			10
16		通话		0元			30
17		通话		0元			10
18		上网		20元			20
19		通话		0元			30
20		上网		20元			20
21		短信		10元			10
22		上网		10元			10
23		上网		10元			10
24		通话		0元			10
25		短信		10元			10
26		上网		20元			20
27		通话		0元			10
28		短信		20元			20
29		通话		10元			10
30		短信		10元			10
31		通话		10元			10
32		通话		10元			10
33		上网		10元			10
34		通话		10元			10
35		短信		0元			20
36		通话		0元			30
37		短信		0元			20
38		通话		0元			30
39		上网		20元			20
40		上网		10元			10
41		短信		20元			20
42		通话		0元			10
43		短信		10元			10
44		通话		0元			30
45		通话		0元			10
46		上网		10元			10
47		上网		20元			20
48		短信		20元			20
49		上网		20元			20
50		通话		0元			10
51		通话		0元			30
52		短信		20元			20
53		通话		0元			30
54		短信		20元			20
55		通话		30元			30
56		短信		20元			20
57		上网		20元			20
58		通话		30元			30
59		上网		10元			10
60		上网		20元			20
61		短信		20元			20
62		短信		10元			10
63		短信		10元			10
64		上网		10元			10
65		上网		10元			10
66		通话		0元			10
67		上网		10元			10
68		短信		0元			20
69		通话		0元			10
70		通话		0元			10
71		短信		0元			20
72		短信		10元			10
73		通话		0元			10
74		短信		20元			20
75		上网		10元			10
76		短信		20元			20
77		通话		0元			30
78		短信		20元			20
79		短信		20元			20
80		短信		10元			10
81		短信		10元			10
82		上网		20元			20
83		通话		0元			30
84		上网		10元			10
85		上网		20元			20
86		短信		10元			10
87		通话		0元			10
88		短信		10元			10
89		短信		10元			10
90		上网		10元			10
91		上网		20元			20
92		短信		10元			10
93		通话		0元			10
94		短信		10元			10
95		上网		20元			20
96		上网		20元			20
97		短信		10元			10
98		短信		10元			10
99		短信		10元			10
100		上网		20元			20
101		上网		10元			10
102		上网		20元			20
103		上网		10元			10
104		短信		20元			20
105		短信		20元			20
106		短信		10元			10
107		短信		10元			10
